category,overall_pvalue,video1pvalue,video2pvalue,video3pvalue,video4pvalue,video5pvalue,video6pvalue,video7pvalue,video8pvalue,video1concordance,video2concordance,video3concordance,video4concordance,video5concordance,video6concordance,video7concordance,video8concordance,video1mean,video2mean,video3mean,video4mean,video5mean,video6mean,video7mean,video8mean,video1sd,video2sd,video3sd,video4sd,video5sd,video6sd,video7sd,video8sd
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.53539999999999999,0.028400000000000002,1.0,1.0,1.0,0.12479999999999999,1.0,0.54679999999999995,1.0,0.87407407407407411,0.97499999999999998,1.0,1.0,0.96917562724014339,1.0,0.95111111111111113,1.0,0.066666666666666666,0.012500000000000001,0.0,0.0,0.016129032258064516,0.0,0.025000000000000001,0.0,0.24944382578492946,0.11110243021644485,0.0,0.0,0.12597176896623638,0.0,0.15612494995995996,0.0
9.0,0.52129999999999999,0.056800000000000003,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.94135802469135799,0.97499999999999998,0.99428571428571433,1.0,1.0,1.0,0.91388888888888886,1.0,0.030555555555555555,0.012500000000000001,0.0028571428571428571,0.0,0.0,0.0,0.052499999999999998,0.0,0.17211017860732966,0.11110243021644486,0.053375833406484025,0.0,0.0,0.0,0.22303306929690944,0.0
10.0,0.4985,0.00029999999999999997,1.0,1.0,1.0,0.0053,1.0,1.0,1.0,0.95061728395061729,1.0,1.0,1.0,0.87383512544802866,1.0,0.96999999999999997,1.0,0.027777777777777776,0.0,0.0,0.0,0.070967741935483872,0.0,0.014999999999999999,0.0,0.16433554953054486,0.0,0.0,0.0,0.25677095151138579,0.0,0.12155245781143217,0.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99459459459459465,1.0,1.0,0.995,1.0,0.0,0.0,0.0,0.0027027027027027029,0.0,0.0,0.0025000000000000001,0.0,0.0,0.0,0.0,0.051917223546752836,0.0,0.0,0.049937460888595443,0.0
